sub,sub_name,node,year,venue,title,doi,desc_in_sub,desc_share,spc_out,cited_by,cd,cd5,reach_depth
16,E-textiles & Weaving,3008,2011,chi,Pinstripe,10.1145/1978942.1979137,55,0.705,312.0,139,0.6296296296296297,0.875,19
16,E-textiles & Weaving,6407,2018,chi,Sketch&amp;Stitch,10.1145/3173574.3173656,42,0.538,488.5,111,-0.078125,-0.05747126436781609,9
16,E-textiles & Weaving,2417,2009,chi,The TeeBoard,10.1145/1518701.1518742,59,0.756,190.4,57,-0.034482758620689655,-0.2,16
16,E-textiles & Weaving,2835,2010,chi,Cord input,10.1145/1753326.1753573,56,0.718,111.8,43,0.19047619047619047,0.5,20
16,E-textiles & Weaving,2676,2010,chi,i*CATch,10.1145/1753326.1753393,56,0.718,134.7,46,-0.09433962264150944,0.0,15
16,E-textiles & Weaving,7477,2019,chi,Digital Fabrication of Soft Actuated Objects by Machine Knitting,10.1145/3290605.3300414,33,0.423,463.7,117,0.009345794392523364,0.025974025974025976,9
16,E-textiles & Weaving,5432,2016,chi,Project Jacquard,10.1145/2858036.2858176,53,0.679,1024.3,324,0.022727272727272728,0.03361344537815126,14
16,E-textiles & Weaving,2299,2008,chi,The LilyPad Arduino,10.1145/1357054.1357123,63,0.808,452.7,598,1.0,1.0,19
16,E-textiles & Weaving,5086,2016,chi,"""I don't Want to Wear a Screen""",10.1145/2858036.2858192,42,0.538,548.2,230,0.07423580786026202,0.056179775280898875,12
17,Tactile & Thermal Feedback,6051,2017,chi,Multi-moji,10.1145/3025453.3025614,29,0.282,326.4,90,0.024096385542168676,-0.08571428571428572,10
17,Tactile & Thermal Feedback,3238,2011,chi,A haptic wristwatch for eyes-free interactions,10.1145/1978942.1979425,46,0.447,367.5,105,0.09032258064516129,0.14705882352941177,19
17,Tactile & Thermal Feedback,2888,2010,chi,BuzzWear,10.1145/1753326.1753392,48,0.466,412.9,138,0.3064516129032258,0.2,13
17,Tactile & Thermal Feedback,2190,2008,chi,Investigating the effectiveness of tactile feedback for mobile touchscreens,10.1145/1357054.1357300,49,0.476,224.5,432,0.10377358490566038,0.1,22
17,Tactile & Thermal Feedback,1840,2006,chi,A role for haptics in mobile interaction,10.1145/1124772.1124800,54,0.524,194.3,200,0.28,0.3333333333333333,24
17,Tactile & Thermal Feedback,1936,2007,chi,Shoogle,10.1145/1240624.1240642,53,0.515,197.7,162,1.0,1.0,22
17,Tactile & Thermal Feedback,2037,2007,chi,Tactile feedback for mobile interactions,10.1145/1240624.1240649,52,0.505,142.1,303,0.36363636363636365,0.0,23
17,Tactile & Thermal Feedback,4693,2015,chi,In the Heat of the Moment,10.1145/2702123.2702219,35,0.34,338.9,47,-0.2,-0.375,12
17,Tactile & Thermal Feedback,7356,2019,chi,ThermalBracelet,10.1145/3290605.3300400,26,0.252,385.5,96,-0.1326530612244898,-0.16666666666666666,8
18,VR Locomotion & Presence,7267,2019,chi,Using Presence Questionnaires in Virtual Reality,10.1145/3290605.3300590,18,0.25,352.8,416,0.020491803278688523,0.03355704697986577,8
18,VR Locomotion & Presence,5993,2017,chi,"""These are not my hands!""",10.1145/3025453.3025602,25,0.347,206.0,209,0.0,0.0070921985815602835,11
18,VR Locomotion & Presence,7242,2019,chi,Assessing the Accuracy of Point &amp; Teleport Locomotion with Orientation Indication for ,10.1145/3290605.3300377,21,0.292,227.7,81,0.0,-0.021739130434782608,8
18,VR Locomotion & Presence,7854,2020,chi,Podoportation: Foot-Based Locomotion in Virtual Reality,10.1145/3313831.3376626,20,0.278,236.5,65,-0.021834061135371178,-0.03409090909090909,7
18,VR Locomotion & Presence,6896,2019,chi,I'm a Giant,10.1145/3290605.3300752,26,0.361,224.2,83,0.07142857142857142,0.058823529411764705,8
18,VR Locomotion & Presence,5525,2016,chi,VR-STEP,10.1145/2858036.2858084,34,0.472,253.9,141,0.6086956521739131,0.4166666666666667,13
18,VR Locomotion & Presence,6712,2018,chi,Object Manipulation in Virtual Reality Under Increasing Levels of Translational Gain,10.1145/3173574.3173673,29,0.403,318.3,66,-0.024691358024691357,-0.03067484662576687,9
18,VR Locomotion & Presence,5886,2017,chi,Handsfree Omnidirectional VR Navigation using Head Tilt,10.1145/3025453.3025521,31,0.431,199.9,75,0.23809523809523808,0.2222222222222222,12
19,Physical Prototyping Toolkits,2025,2007,chi,Authoring sensor-based interactions by demonstration with direct manipulation and pattern ,10.1145/1240624.1240646,7,0.233,58.2,154,0.11688311688311688,0.1,25
19,Physical Prototyping Toolkits,5517,2016,chi,Crossed Wires,10.1145/2858036.2858533,12,0.4,219.7,79,0.056338028169014086,0.07142857142857142,12
19,Physical Prototyping Toolkits,1648,2004,chi,Papier-Mache,10.1145/985692.985743,9,0.3,79.2,201,0.018779342723004695,-0.029411764705882353,28
19,Physical Prototyping Toolkits,7058,2019,chi,VirtualComponent,10.1145/3290605.3300407,4,0.133,139.0,32,0.0196078431372549,-0.02631578947368421,3
19,Physical Prototyping Toolkits,1559,2003,chi,iStuff,10.1145/642611.642705,18,0.6,217.5,212,0.02074688796680498,0.037037037037037035,29
19,Physical Prototyping Toolkits,1535,2003,chi,A design tool for camera-based interaction,10.1145/642611.642690,11,0.367,102.9,80,0.03664921465968586,0.03571428571428571,29
20,Making & Makerspaces,4228,2014,chi,"""now that's definitely a proper hack""",10.1145/2556288.2557221,32,0.681,252.3,62,0.2727272727272727,0.1,15
20,Making & Makerspaces,2468,2009,chi,Learning from IKEA hacking,10.1145/1518701.1518768,38,0.809,272.9,118,0.19,0.2222222222222222,21
20,Making & Makerspaces,5287,2016,chi,Reconstituting the Utopian Vision of Making,10.1145/2858036.2858506,21,0.447,486.2,196,-0.021844660194174758,-0.06976744186046512,13
20,Making & Makerspaces,4844,2015,chi,The Proper Care and Feeding of Hackerspaces,10.1145/2702123.2702522,29,0.617,377.0,175,0.06802721088435375,-0.04225352112676056,14
20,Making & Makerspaces,5053,2016,chi,Making Community,10.1145/2858036.2858073,15,0.319,382.4,164,-0.058823529411764705,-0.12345679012345678,12
20,Making & Makerspaces,3992,2013,chi,Democratizing technology,10.1145/2470654.2481360,36,0.766,649.2,400,0.07929515418502203,-0.04597701149425287,18
20,Making & Makerspaces,504,1990,chi,User-tailorable systems: pressing the issues with buttons,10.1145/97243.97271,38,0.809,140.4,399,0.7666666666666667,0.45454545454545453,39
20,Making & Makerspaces,4413,2014,chi,Emerging sites of HCI innovation,10.1145/2556288.2557132,32,0.681,618.0,286,-0.04153354632587859,-0.0625,15
21,Data Physicalization & Bio-materials,1798,2006,chi,Olfoto,10.1145/1124772.1124869,42,0.483,168.2,123,0.5789473684210527,0.125,17
21,Data Physicalization & Bio-materials,4873,2015,chi,Opportunities and Challenges for Data Physicalization,10.1145/2702123.2702180,24,0.276,488.1,558,0.018276762402088774,0.011695906432748537,15
21,Data Physicalization & Bio-materials,8938,2021,chi,"Unmaking: Enabling and Celebrating the Creative Material of Failure, Destruction, Decay, a",10.1145/3411764.3445529,21,0.241,493.7,108,-0.11695906432748537,-0.11695906432748537,7
